Name,Version,Section,Homepage,Source,Architecture
libavahi-client3,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi,amd64
libavahi-common-data,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi,amd64
libavahi-common3,0.7-3.1ubuntu1.1,libs,http://avahi.org/,avahi,amd64
libbind9-160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libblkid1,2.31.1-0.4ubuntu3.1,libs,,util-linux,amd64
libbsd0,0.8.7-1,libs,https://libbsd.freedesktop.org/,libbsd,amd64
libbz2-1.0,1.0.6-8.1,libs,http://www.bzip.org/,bzip2,amd64
libc-bin,2.27-3ubuntu1,libs,https://www.gnu.org/software/libc/libc.html,glibc,amd64
libc6,2.27-3ubuntu1,libs,https://www.gnu.org/software/libc/libc.html,glibc,amd64
libcap-ng0,0.7.7-3.1,libs,http://people.redhat.com/sgrubb/libcap-ng,libcap-ng,amd64
libcap2,1:2.25-1.2,libs,http://sites.google.com/site/fullycapable/,,amd64
libcap2-bin,1:2.25-1.2,utils,http://sites.google.com/site/fullycapable/,libcap2,amd64
libcom-err2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs,amd64
libcryptsetup12,2:2.0.2-1ubuntu1.1,libs,https://gitlab.com/cryptsetup/cryptsetup,cryptsetup,amd64
libcups2,2.2.7-1ubuntu2.1,libs,https://www.cups.org/,cups,amd64
libcurl3-gnutls,7.58.0-2ubuntu3.3,libs,http://curl.haxx.se,curl,amd64
libcurl4,7.58.0-2ubuntu3.3,libs,http://curl.haxx.se,curl,amd64
libdb5.3,5.3.28-13.1ubuntu1,libs,http://www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,db5.3,amd64
libdbus-1-3,1.12.2-1ubuntu1,libs,http://dbus.freedesktop.org/,dbus,amd64
libdebconfclient0,0.213ubuntu1,libs,,cdebconf,amd64
libdevmapper-event1.02.1,2:1.02.145-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3),amd64
libdevmapper1.02.1,2:1.02.145-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3),amd64
libdns-export1100,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libdns1100,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9,amd64
libdrm-common,2.4.91-2,libs,https://cgit.freedesktop.org/mesa/drm/,libdrm,all
libdrm2,2.4.91-2,libs,https://cgit.freedesktop.org/mesa/drm/,libdrm,amd64
libdumbnet1,1.12-7build1,libs,http://code.google.com/p/libdnet/,libdumbnet,amd64
libdw1,0.170-0.4,libs,https://sourceware.org/elfutils/,elfutils,amd64
libeatmydata1,105-6,utils,https://launchpad.net/libeatmydata,libeatmydata,amd64
libedit2,3.1-20170329-1,libs,http://www.thrysoee.dk/editline/,libedit,amd64
libefiboot1,34-1,libs,https://github.com/rhinstaller/efivar,efivar,amd64
libefivar1,34-1,libs,https://github.com/rhinstaller/efivar,efivar,amd64
libelf1,0.170-0.4,libs,https://sourceware.org/elfutils/,elfutils,amd64
liberror-perl,0.17025-1,perl,https://metacpan.org/release/Error,,all
libestr0,0.1.10-2.1,libs,http://libestr.sourceforge.net/,libestr,amd64
libevent-2.1-6,2.1.8-stable-4build1,libs,http://libevent.org/,libevent,amd64
libexpat1,2.2.5-3,libs,https://libexpat.github.io/,expat,amd64
libext2fs2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs,amd64
libfastjson4,0.99.8-2,libs,https://github.com/rsyslog/libfastjson,libfastjson,amd64
libfdisk1,2.31.1-0.4ubuntu3.1,libs,,util-linux,amd64
libffi6,3.2.1-8,libs,,libffi,amd64
libfreetype6,2.8.1-2ubuntu2,libs,http://www.freetype.org,freetype,amd64
libfribidi0,0.19.7-2,libs,http://www.fribidi.org/,fribidi,amd64
libfuse2,2.9.7-1ubuntu1,libs,https://github.com/libfuse/libfuse/wiki,fuse,amd64
libgcc1,1:8.2.0-1ubuntu2~18.04,libs,http://gcc.gnu.org/,gcc-8 (8.2.0-1ubuntu2~18.04),amd64
libgcrypt20,1.8.1-4ubuntu1.1,libs,http://directory.fsf.org/project/libgcrypt/,,amd64
libgdbm-compat4,1.14.1-6,libs,https://gnu.org/software/gdbm,gdbm,amd64
libgdbm5,1.14.1-6,libs,https://gnu.org/software/gdbm,gdbm,amd64
libgeoip1,1.6.12-1,libs,https://www.maxmind.com/,geoip,amd64
libgirepository-1.0-1,1.56.1-1,libs,https://wiki.gnome.org/GObjectIntrospection,gobject-introspection,amd64
libglib2.0-0,2.56.2-0ubuntu0.18.04.2,libs,http://www.gtk.org/,glib2.0,amd64
libglib2.0-data,2.56.2-0ubuntu0.18.04.2,misc,http://www.gtk.org/,glib2.0,all
libgmp10,2:6.1.2+dfsg-2,libs,http://gmplib.org/,gmp,amd64
libgnutls30,3.5.18-1ubuntu1,libs,http://www.gnutls.org/,gnutls28,amd64
libgpg-error0,1.27-6,libs,https://www.gnupg.org/related_software/libgpg-error/,libgpg-error,amd64
libgpm2,1.20.7-5,libs,https://nico.schottelius.org/software/gpm/,gpm,amd64
libgssapi-krb5-2,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5,amd64
libgssapi3-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libhcrypto4-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libheimbase1-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libheimntlm0-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libhogweed4,3.4-1,libs,http://www.lysator.liu.se/~nisse/nettle/,nettle,amd64
libhx509-5-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal,amd64
libicu60,60.2-3ubuntu3,libs,http://www.icu-project.org,icu,amd64
libidn11,1.33-2.1ubuntu1,libs,https://www.gnu.org/software/libidn/,libidn,amd64
libidn2-0,2.0.4-1.1build2,libs,https://www.gnu.org/software/libidn/#libidn2,libidn2,amd64
libip4tc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables,amd64
