Name,Version,Section,Homepage,Source
libcurl4,7.58.0-2ubuntu3.3,libs,http://curl.haxx.se,curl
libdb5.3,5.3.28-13.1ubuntu1,libs,http://www.oracle.com/technetwork/database/database-technologies/berkeleydb/overview/index.html,db5.3
libdbus-1-3,1.12.2-1ubuntu1,libs,http://dbus.freedesktop.org/,dbus
libdebconfclient0,0.213ubuntu1,libs,,cdebconf
libdevmapper-event1.02.1,2:1.02.145-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3)
libdevmapper1.02.1,2:1.02.145-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2 (2.02.176-4.1ubuntu3)
libdns-export1100,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libdns1100,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libdrm-common,2.4.91-2,libs,https://cgit.freedesktop.org/mesa/drm/,libdrm
libdrm2,2.4.91-2,libs,https://cgit.freedesktop.org/mesa/drm/,libdrm
libdumbnet1,1.12-7build1,libs,http://code.google.com/p/libdnet/,libdumbnet
libdw1,0.170-0.4,libs,https://sourceware.org/elfutils/,elfutils
libeatmydata1,105-6,utils,https://launchpad.net/libeatmydata,libeatmydata
libedit2,3.1-20170329-1,libs,http://www.thrysoee.dk/editline/,libedit
libefiboot1,34-1,libs,https://github.com/rhinstaller/efivar,efivar
libefivar1,34-1,libs,https://github.com/rhinstaller/efivar,efivar
libelf1,0.170-0.4,libs,https://sourceware.org/elfutils/,elfutils
liberror-perl,0.17025-1,perl,https://metacpan.org/release/Error,
libestr0,0.1.10-2.1,libs,http://libestr.sourceforge.net/,libestr
libevent-2.1-6,2.1.8-stable-4build1,libs,http://libevent.org/,libevent
libexpat1,2.2.5-3,libs,https://libexpat.github.io/,expat
libext2fs2,1.44.1-1,libs,http://e2fsprogs.sourceforge.net,e2fsprogs
libfastjson4,0.99.8-2,libs,https://github.com/rsyslog/libfastjson,libfastjson
libfdisk1,2.31.1-0.4ubuntu3.1,libs,,util-linux
libffi6,3.2.1-8,libs,,libffi
libfreetype6,2.8.1-2ubuntu2,libs,http://www.freetype.org,freetype
libfribidi0,0.19.7-2,libs,http://www.fribidi.org/,fribidi
libfuse2,2.9.7-1ubuntu1,libs,https://github.com/libfuse/libfuse/wiki,fuse
libgcc1,1:8.2.0-1ubuntu2~18.04,libs,http://gcc.gnu.org/,gcc-8 (8.2.0-1ubuntu2~18.04)
libgcrypt20,1.8.1-4ubuntu1.1,libs,http://directory.fsf.org/project/libgcrypt/,
libgdbm-compat4,1.14.1-6,libs,https://gnu.org/software/gdbm,gdbm
libgdbm5,1.14.1-6,libs,https://gnu.org/software/gdbm,gdbm
libgeoip1,1.6.12-1,libs,https://www.maxmind.com/,geoip
libgirepository-1.0-1,1.56.1-1,libs,https://wiki.gnome.org/GObjectIntrospection,gobject-introspection
libglib2.0-0,2.56.2-0ubuntu0.18.04.2,libs,http://www.gtk.org/,glib2.0
libglib2.0-data,2.56.2-0ubuntu0.18.04.2,misc,http://www.gtk.org/,glib2.0
libgmp10,2:6.1.2+dfsg-2,libs,http://gmplib.org/,gmp
libgnutls30,3.5.18-1ubuntu1,libs,http://www.gnutls.org/,gnutls28
libgpg-error0,1.27-6,libs,https://www.gnupg.org/related_software/libgpg-error/,libgpg-error
libgpm2,1.20.7-5,libs,https://nico.schottelius.org/software/gpm/,gpm
libgssapi-krb5-2,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5
libgssapi3-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libhcrypto4-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libheimbase1-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libheimntlm0-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libhogweed4,3.4-1,libs,http://www.lysator.liu.se/~nisse/nettle/,nettle
libhx509-5-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libicu60,60.2-3ubuntu3,libs,http://www.icu-project.org,icu
libidn11,1.33-2.1ubuntu1,libs,https://www.gnu.org/software/libidn/,libidn
libidn2-0,2.0.4-1.1build2,libs,https://www.gnu.org/software/libidn/#libidn2,libidn2
libip4tc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables
libip6tc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables
libiptc0,1.6.1-2ubuntu2,libs,http://www.netfilter.org/,iptables
libirs160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libisc-export169,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libisc169,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libisccc160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libisccfg160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
libisns0,0.97-2build1,libs,https://github.com/open-iscsi/open-isns,open-isns
libjansson4,2.11-1,libs,http://www.digip.org/jansson/,jansson
libjson-c3,0.12.1-1.3,libs,https://github.com/json-c/json-c/wiki,json-c
libk5crypto3,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5
libkeyutils1,1.5.9-9.2ubuntu2,libs,http://people.redhat.com/~dhowells/keyutils/,keyutils
libklibc,2.0.4-9ubuntu2,libs,https://git.kernel.org/cgit/libs/klibc/klibc.git,klibc
libkmod2,24-1ubuntu3,libs,,kmod
libkrb5-26-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
libkrb5-3,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5
libkrb5support0,1.16-2build1,libs,http://web.mit.edu/kerberos/,krb5
libksba8,1.3.5-2,libs,http://www.gnupg.org/related_software/libksba/,libksba
libldap-2.4-2,2.4.45+dfsg-1ubuntu1,libs,http://www.openldap.org/,openldap
libldap-common,2.4.45+dfsg-1ubuntu1,libs,http://www.openldap.org/,openldap
libldb1,2:1.2.3-1,libs,http://ldb.samba.org/,ldb
liblocale-gettext-perl,1.07-3build2,perl,https://metacpan.org/release/gettext,
liblua5.2-0,5.2.4-1.1build1,libs,http://www.lua.org,lua5.2
liblvm2app2.2,2.02.176-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2
liblvm2cmd2.02,2.02.176-4.1ubuntu3,libs,http://sources.redhat.com/lvm2/,lvm2
liblwres160,1:9.11.3+dfsg-1ubuntu1.2,libs,https://www.isc.org/downloads/bind/,bind9
liblxc-common,3.0.1-0ubuntu1~18.04.2,admin,https://linuxcontainers.org,lxc
liblxc1,3.0.1-0ubuntu1~18.04.2,libs,https://linuxcontainers.org,lxc
liblz4-1,0.0~r131-2ubuntu3,libs,https://github.com/Cyan4973/lz4,lz4
liblzma5,5.2.2-1.3,libs,http://tukaani.org/xz/,xz-utils
liblzo2-2,2.08-1.2,libs,http://www.oberhumer.com/opensource/lzo/,lzo2
libmagic-mgc,1:5.32-2ubuntu0.1,libs,http://www.darwinsys.com/file/,file
libmagic1,1:5.32-2ubuntu0.1,libs,http://www.darwinsys.com/file/,file
libmnl0,1.0.4-2,libs,http://netfilter.org/projects/libmnl/,libmnl
libmount1,2.31.1-0.4ubuntu3.1,libs,,util-linux
libmpdec2,2.4.2-1ubuntu1,libs,http://www.bytereef.org/mpdecimal/index.html,mpdecimal
libmpfr6,4.0.1-1,libs,http://www.mpfr.org/,mpfr4
libmspack0,0.6-3ubuntu0.1,libs,https://www.cabextract.org.uk/libmspack/,libmspack
libncurses5,6.1-1ubuntu1.18.04,libs,https://invisible-island.net/ncurses/,ncurses
libncursesw5,6.1-1ubuntu1.18.04,libs,https://invisible-island.net/ncurses/,ncurses
libnetfilter-conntrack3,1.0.6-2,libs,http://www.netfilter.org/projects/libnetfilter_conntrack/,libnetfilter-conntrack
libnettle6,3.4-1,libs,http://www.lysator.liu.se/~nisse/nettle/,nettle
libnewt0.52,0.52.20-1ubuntu1,libs,https://fedorahosted.org/newt/,newt
libnfnetlink0,1.0.1-3,libs,,libnfnetlink
libnghttp2-14,1.30.0-1ubuntu1,libs,https://nghttp2.org/,nghttp2
libnih1,1.0.3-6ubuntu2,libs,https://launchpad.net/libnih,libnih
libnpth0,1.5-3,libs,https://www.gnupg.org/,npth
libnss-systemd,237-3ubuntu10.3,admin,https://www.freedesktop.org/wiki/Software/systemd,systemd
libntfs-3g88,1:2017.3.23-2,libs,http://www.tuxera.com/community/ntfs-3g-advanced/,ntfs-3g
libnuma1,2.0.11-2.1,libs,http://oss.sgi.com/projects/libnuma/,numactl
libp11-kit0,0.23.9-2,libs,http://p11-glue.freedesktop.org/p11-kit.html,p11-kit
libpam-cap,1:2.25-1.2,libs,http://sites.google.com/site/fullycapable/,libcap2
libpam-modules,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam
libpam-modules-bin,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam
libpam-runtime,1.1.8-3.6ubuntu2,admin,http://www.linux-pam.org/,pam
libpam-systemd,237-3ubuntu10.3,admin,https://www.freedesktop.org/wiki/Software/systemd,systemd
libpam0g,1.1.8-3.6ubuntu2,libs,http://www.linux-pam.org/,pam
libparted2,3.2-20,libs,http://www.gnu.org/software/parted,parted
libpcap0.8,1.8.1-6ubuntu1,libs,http://www.tcpdump.org/,libpcap
libpci3,1:3.5.2-1ubuntu1,libs,http://atrey.karlin.mff.cuni.cz/~mj/pciutils.shtml,pciutils
libpcre3,2:8.39-9,libs,,pcre3
libperl5.26,5.26.1-6ubuntu0.2,libs,http://dev.perl.org/perl5/,perl
libpipeline1,1.5.0-1,libs,http://libpipeline.nongnu.org/,libpipeline
libplymouth4,0.9.3-1ubuntu7.18.04.1,libs,http://www.freedesktop.org/wiki/Software/Plymouth,plymouth
libpng16-16,1.6.34-1ubuntu0.18.04.1,libs,http://libpng.org/pub/png/libpng.html,libpng1.6
libpolkit-agent-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1
libpolkit-backend-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1
libpolkit-gobject-1-0,0.105-20ubuntu0.18.04.1,libs,https://www.freedesktop.org/wiki/Software/polkit/,policykit-1
libpopt0,1.16-11,libs,http://rpm5.org/,popt
libprocps6,2:3.3.12-3ubuntu1.1,libs,https://gitlab.com/procps-ng/procps,procps
libpsl5,0.19.1-5build1,libs,https://github.com/rockdaboot/libpsl,libpsl
libpython-stdlib,2.7.15~rc1-1,python,http://www.python.org/,python-defaults
libpython2.7,2.7.15~rc1-1,libs,,python2.7
libpython2.7-minimal,2.7.15~rc1-1,python,,python2.7
libpython2.7-stdlib,2.7.15~rc1-1,python,,python2.7
libpython3-stdlib,3.6.5-3ubuntu1,python,http://www.python.org/,python3-defaults
libpython3.6,3.6.6-1~18.04,libs,,python3.6
libpython3.6-minimal,3.6.6-1~18.04,python,,python3.6
libpython3.6-stdlib,3.6.6-1~18.04,python,,python3.6
libreadline5,5.2+dfsg-3build1,libs,,readline5
libreadline7,7.0-3,libs,,readline
libroken18-heimdal,7.5.0+dfsg-1,libs,http://www.h5l.org/,heimdal
librtmp1,2.4+20151223.gitfa8646d.1-1,libs,http://rtmpdump.mplayerhq.hu/,rtmpdump
libsasl2-2,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2
libsasl2-modules,2.1.27~101-g0780600+dfsg-3ubuntu2,libs,https://www.cyrusimap.org/,cyrus-sasl2
