NAME,VERSION,RELEASE
systemd-sysv,219,57.0.1.el7
sysvinit-tools,2.88,14.dsf.el7
tar,1.26,32.el7
tcp_wrappers,7.6,77.el7
tcp_wrappers-libs,7.6,77.el7
tmpwatch,2.11,5.el7
tzdata,2017b,1.el7
uname26,1.0,1.el7
unzip,6.0,19.el7
usermode,1.111,5.el7
ustr,1.0.4,16.el7
util-linux,2.23.2,43.el7
vim-minimal,7.4.160,2.el7
virt-what,1.13,10.el7
WALinuxAgent,2.2.14,1.0.1.el7
which,2.20,7.el7
wpa_supplicant,2.6,9.el7
xfsprogs,4.5.0,12.0.1.el7
xorg-x11-apps,7.7,7.el7
xorg-x11-utils,7.5,22.el7
xorg-x11-xauth,1.0.9,1.el7
xz,5.2.2,1.el7
xz-libs,5.2.2,1.el7
yum,3.4.3,158.0.1.el7
yum-metadata-parser,1.1.4,10.el7
yum-plugin-ulninfo,0.2,13.el7
yum-rhn-plugin,2.0.1,9.0.1.el7
zlib,1.2.7,17.el7
