NAME,VERSION,RELEASE
pcre,8.32,17.el7
pinentry,0.8.1,17.el7
pkgconfig,0.27.1,4.el7
plymouth,0.8.9,0.28.20140113.el7.centos
plymouth-core-libs,0.8.9,0.28.20140113.el7.centos
plymouth-scripts,0.8.9,0.28.20140113.el7.centos
policycoreutils,2.5,17.1.el7
polkit,0.112,12.el7_3
polkit-pkla-compat,0.1,4.el7
popt,1.13,16.el7
postfix,2.10.1,6.el7
ppp,2.4.5,33.el7
procps-ng,3.3.10,16.el7
pth,2.0.7,23.el7
pygpgme,0.3,9.el7
pyliblzma,0.5.3,11.el7
python,2.7.5,58.el7
python-cffi,1.6.0,5.el7
python-chardet,2.2.1,1.el7_1
python-configobj,4.7.2,7.el7
python-decorator,3.4.0,3.el7
python-ecdsa,0.11,3.el7.centos
python-enum34,1.0.4,1.el7
python-firewall,0.4.4.4,6.el7
python-gobject-base,3.22.0,1.el7
python-idna,2.4,1.el7
python-iniparse,0.4,9.el7
python-ipaddress,1.0.16,2.el7
python-kitchen,1.1.1,5.el7
python-libs,2.7.5,58.el7
python-linux-procfs,0.4.9,3.el7
python-paramiko,2.1.1,2.el7
python-perf,3.10.0,693.2.2.el7
python-ply,3.4,11.el7
python-pycparser,2.14,1.el7
python-pycrypto,2.6.1,40.1
python-pycurl,7.19.0,19.el7
python-pyudev,0.15,9.el7
python-schedutils,0.4,6.el7
python-six,1.9.0,2.el7
python-slip,0.4.0,2.el7
python-slip-dbus,0.4.0,2.el7
python-urlgrabber,3.10,8.el7
python2-cryptography,1.7.2,1.el7
python2-pyasn1,0.1.9,7.el7
pyxattr,0.5.1,5.el7
qrencode-libs,3.4.1,3.el7
rdma-core,13,7.el7
rdma-core,13,7.el7
readline,6.2,10.el7
rng-tools,5,11.el7
rootfiles,8.1,11.el7
rpm,4.11.3,25.el7
rpm-build-libs,4.11.3,25.el7
rpm-libs,4.11.3,25.el7
rpm-python,4.11.3,25.el7
rsyslog,8.24.0,12.el7
sed,4.2.2,5.el7
selinux-policy,3.13.1,166.el7_4.4
selinux-policy-targeted,3.13.1,166.el7_4.4
setup,2.8.71,7.el7
shadow-utils,4.1.5.1,24.el7
shared-mime-info,1.8,3.el7
slang,2.2.4,11.el7
snappy,1.1.0,3.el7
sqlite,3.7.17,8.el7
sudo,1.8.19p2,11.el7_4
systemd,219,42.el7_4.1
systemd-libs,219,42.el7_4.1
systemd-libs,219,42.el7_4.1
systemd-sysv,219,42.el7_4.1
sysvinit-tools,2.88,14.dsf.el7
tar,1.26,32.el7
tcp_wrappers-libs,7.6,77.el7
teamd,1.25,5.el7
trousers,0.3.14,2.el7
tuned,2.8.0,5.el7
tzdata,2017b,1.el7
ustr,1.0.4,16.el7
util-linux,2.23.2,43.el7
vim-minimal,7.4.160,2.el7
virt-what,1.13,10.el7
wget,1.14,15.el7
which,2.20,7.el7
wpa_supplicant,2.6,5.el7
xfsprogs,4.5.0,12.el7
xz,5.2.2,1.el7
xz-libs,5.2.2,1.el7
xz-libs,5.2.2,1.el7
yum,3.4.3,154.el7.centos
yum-metadata-parser,1.1.4,10.el7
yum-plugin-fastestmirror,1.1.31,42.el7
yum-utils,1.1.31,42.el7
zlib,1.2.7,17.el7
zlib,1.2.7,17.el7
